fecha,presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana
2009-01-11,1004.0075,1002.56,,0.6769,83.4093,58.23,93.2,10.4141,1.235,0.12,2.4295606100000002,0.8149,2.2899,0.5,3.4175405,1.2194,-1.0837,0.115,173.944,144,2009,11,invierno,January,S,2.32
2009-01-12,998.4947,993.68,1003.34,2.9773,72.4442,50.8,88.5,12.4534,2.4599,1.12,3.85,0.5952,3.6968,2.25,5.5,0.7597,-2.3036,-0.4289,190.5456,144,2009,12,verano,JUNE,S,4.9
2009-01-13,990.1472,988.02,993.54,1.4712,61.7875,42.38,75.8,9.3221,2.4801,0.47,4.4,0.8583,3.7881,1.13,6.25,1.046,-2.3479,-0.2096,185.1016,144,2009,13,invierno,January,S,0.43
2009-01-14,987.5876,986.43,990.18,0.9993,80.6224,59.08,91.7,9.3468,0.8526,0.12,3.05,0.5681,1.6855,0.5,4.75,0.8747,-0.6576,0.0412,176.4107,144,2009,14,East,January,S,4.52
2009-01-15,994.1072,990.2,997.54,2.0477,0.9110280000000001,0.73,97.6,5.647,0.6442,0.06,1.19924603,0.3849,1.261,0.5,2.01945575,0.5522,-0.3029,0.1424,154.8295,144,2009,15,Estacion_Desconocida,Sep,Sureste,1.17
2009-01-16,997.5481,995.15,999.29,1.1148,92.7597,102.54321068387927,81.5,5.2127,1.5995,0.14,2.29285899,0.8759,2.3461,0.5,3.106855,1.1198,-1.4937,-0.3001,191.3615,144,2009,16,invierno,JUNE,S,
2009-01-17,992.1331,988.23,995.15,2.0551,87.7028,82.5,93.8,2.8481,,2.0160000000000005,14.148000000000001,81.77,3.3924,1.0,6.0,-54.50000000000001,-2.0065,0.0543,178.4501,144,2009,,verano,April,S,5.31
2009-01-18,979.1435,972.33,988.11,5.3253,0.8275480000000001,67.98,94.3,7.0427,10.70604,34.953763244301435,0.684,1.6974,4.623,0.75,10.75,2.4464,-2.6939,-0.8217,196.9619,144,2009,18,verano,SEPTEMBER,,4.27
2009-01-19,972.7938,965.94,980.02,5.5264,79.5069,69.0,88.6,4.8139,3.3216,0.27,4.95854058,1.9596,5.0651,0.63,,2.8144,-3.1466,-0.3015,185.4729,144,2009,19,invierno,January,S,6.8
2009-01-20,971.3083,965.27,977.35,3.7879,79.5139,71.6,95.2,6.8664,2.0826,0.13,4.16939941,1.4944,3.2169,0.5,6.605173730000001,2.2039,-1.7052,-0.998,210.3379,144,2009,20,invierno,noviembre,Suroeste,1.3
2009-01-21,980.2045,977.43,983.42,1.7664,0.927806,0.845,97.0,4.0448,0.6531,0.1,1.87,0.326,1.211,0.38,2.75,0.4502,-0.5049,-0.0119,181.3462,144,2009,21,East,January,S,3.05
2009-01-22,9784.115,971.48,983.54,3.9853,86.7311,69.11,97.6,9.7926,10.09692,1.4400000000000002,26.532,178.43,4.2533,0.88,10.13,-122.64999999999999,-2.7229,-0.1899,183.9897,144,2009,22,verano,octubre,S,5.77
2009-01-23,955.5102,944.58,971.4,8.8742,0.7807080000000001,58.67,91.1,7.2499,5.1039,12.536035421366133,1.1371089300000001,1.9491,7.7377,3.25,9.0098795,2.9064,-4.882,-0.4137,184.8438,144,2009,23,invierno,January,South,5.41
2009-01-24,961.1252,952.33,970.98,,0.746343,0.9454454858932805,55.83,10.7749,,0.06,8.04,1.9681,4.6603,0.38,11.0,2.8308,-2.1991,-1.7205,218.0386,144,2009,24,invierno,Enero,SO,6.31
2009-01-25,974.0507,971.14,975.36,1.0433,83.009,59.27,95.5,10.9192,0.9262,0.07,1.83925816,0.6608,1.6674,0.38,3.03229048,0.9167,-0.7753,0.0561,175.8584,144,2009,25,invierno,January,,
2009-01-26,977.231,975.0,980.89,1.7438,96.5639,95.2,97.5,0.5982,1.4099,0.04,2.10644769,0.9215,2.1535,0.38,2.72160498,1.1234,1.0684,0.367,18.9574,144,,26,verano,Sept,N,-1.04
2009-01-27,986.1106,980.97,990.97,3.2006,98.9958,,100.0,1.1007,8.05644,0.0,14.184,88.3,3.3226,0.0,5.5,-59.34,1.9919,0.9426,25.3231,144,2009,27,verano,november,NE,-1.63
2009-01-28,992.824,990.85,995.12,1.3317,96.0736,89.8,100.0,3.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,2009,28,verano,SEPTEMBER,N,-1.74
2009-01-29,996.851,995.02,998.83,1.2328,88.3306,82.5,95.0,3.4851,1.589,0.0,4.44,1.1156,2.7997,0.0,6.88,1.8484,0.7466,1.26,59.3524,144,2009,29,invierno,January,NE,-1.84
2009-01-30,998.9144,997.48,1000.03,0.5527,0.809375,75.6,88.6,3.2773,2.1109,0.9,3.6,0.5995,3.7403,1.88,7.63,0.9137,0.9395,1.7367,61.5891,144,2009,30,invierno,January,NE,-0.79
2009-01-31,994.3756,989.95,997.42,2.0522,0.8844029999999999,73.3,94.4,5.4441,2.5866,0.64,5.26,1.1017,4.0067,1.13,7.38,1.4725,1.953,1.6026,39.3705,144,,31,Inverano,april,NE,
2009-02-01,985.7607,982.74,989.86,1.8135,,75.9,94.6,4.1694,14.179680000000001,4.248,24.12,1.33,6.1717,2.0,10.25,2.0702,2.7982,2.6972,43.9461,144,2009,32,verano,julio,,3.71
2009-02-02,979.9558,976.36,982.79,2.2236,80.6926,67.71,91.4,6.7588,1.4833,9.119714406007304,0.03728226,1.1087,2.5124,0.38,4.43037523,1.6218,0.5206,0.733,54.6159,,2009,33,invierno,February,Noreste,
2009-02-03,973.8671,972.46,976.35,1.1087,0.8818170000000001,0.9931849145558738,63.26,9.5014,1.7377200000000002,16.57602889817402,,40.99,0.971,4.271406718859167,0.23612098,-25.465,-0.1624,-0.0542,198.4735,144,2009,34,verano,APRIL,Sur,4.89
2009-02-04,972.084,971.01,972.68,0.4541,91.9382,101.3406093347214,71.7,7.7782,3.0873600000000003,0.324,7.668,0.5055,1.4775,0.38,4.25,0.6789,-0.2618,-0.064,193.7441,144,2009,35,verano,Aug,S,6.43
2009-02-05,972.0015,970.82,972.85,0.5615,0.8596550000000001,0.6865000000000001,98.7,10.6563,1.8062,0.73,1.9883872,0.5107,2.8342,6.672665530248407,0.9320565000000001,0.6244,-1.6899,,186.4352,144,2009,36,invierno,February,S,9.12
2009-02-06,968.3094,963.96,971.67,2.2298,82.0547,60.1,93.5,9.8233,1.3933,0.15,3.42,0.6936,2.3068,0.5,4.25,0.868,-0.6962,-0.1003,188.2003,144,2009,37,invierno,February,S,6.09
2009-02-07,961.9011,959.77,965.63,1.3918,86.2749,68.09,95.1,6.9473,4.61376,0.5040000000000001,13.751999999999999,0.8533,2.2036,0.63,5.75,1.2145,-0.4124,-0.7016,239.5515,144,2009,38,verano,febrero,SO,4.41
2009-02-08,973.6899,965.76,980.42,4.5123,74.4915,53.32,,,1.8748,0.46,3.34,0.7482,3.7619,1.25,8.0,1.5596,-0.2625,-1.5957,260.6586,144,2009,39,Inverano,February,O,3.01
2009-02-09,979.9308,973.52,982.03,2.0426,0.7315999999999999,0.5678,85.6,9.4777,3.2418,0.2,7.47,2.1283,4.684,0.63,10.25,2.8609,-2.9185,-1.106,200.7544,144,2009,40,verano,septiembre,S,7.06
2009-02-10,964.1137,958.84,973.46,4.0884,84.9585,67.87,98.5,8.6911,4.9952,1.54,12.96,2.6215,7.7501,2.63,18.38,3.8409,,-2.0308,206.289,144,2009,41,invierno,Sep,SO,2.07
2009-02-11,979.3765,969.3,983.73,4.3935,0.79437,0.5899,92.5,8.2159,2.9253,1.38,4.63,0.6902,5.7106,2.63,9.88,1.5916,-0.2685,-2.8414,264.6013,144,2009,42,invierno,julio,O,1.44
2009-02-12,986.7699,983.22,989.49,2.1569,0.7746970000000001,58.27,92.1,9.6642,7.55532,2.7720000000000002,14.868,69.17,3.7508,1.5,6.63,-59.175,0.3389,-1.4666,283.0129,144,2009,43,verano,Mar,O,1.48
2009-02-13,989.2739,994.9064584843338,988.44,,84.9241,68.02,94.8,9.0065,1.5179,0.13,2.98,0.7029,2.7109,0.38,6.13,1.2846,-0.2777,-1.3465,,144,2009,44,invierno ,Nov,O,-0.69
2009-02-14,994.9869,1003.7359383518381,989.0,3.6486,85.7458,73.5,94.2,5.2747,1.7072,0.39,2.71539127,0.9006,2.9835,0.63,3.8090042299999998,1.2049,0.3487,-0.77,294.3656,144,2009,45,invierno ,February,,-0.72
2009-02-15,998.7019,993.95,1000.68,,0.008117270000000001,0.6393,91.8,9.1973,2.1507,0.27,5.23,1.2468,3.4513,0.63,7.63,1.8045,-1.5937,-0.9096,209.7145,144,2009,46,invierno,MARCH,SO,2.41
2009-02-16,991.0104,987.52,993.86,,87.4924,78.4,96.0,4.396,2.1819,0.55,3.0074356399999997,0.9802,3.813,1.38,5.12631075,1.5745,-1.0319,-1.3606,232.8224,144,2009,47,invierno,february,SO,0.17
2009-02-17,991.2978,985.32,999.06,4.5703,0.869204,0.6664,98.2,11.1089,2.8333,0.03,6.27,1.6456,4.419,0.25,9.75,2.2002,2.2588,0.8128,19.7903,144,2009,48,invierno,February,North,-0.19
2009-02-18,999.4128,998.55,1000.7,0.6099,78.7383,56.88,88.9,10.1606,1.4614,0.33,3.25,0.5324,2.6056,0.75,4.75,0.8357,0.0576,-0.8816,273.739,144,2009,49,verano,November,O,1.66
2009-02-19,997.8533,996.98,998.72,0.5572,74.3589,49.33,90.9,13.7603,1.7452,8.71691139336653,,0.8722,2.7934,1.13,7.13,1.3969,-1.405,-0.6084,203.4127,144,2009,50,invierno,February,so,2.53
2009-02-20,996.7133,995.74,998.82,0.9071,94.2403,85.4,97.9,2.9842,1.8403,0.67,3.61,0.7226,3.1519,1.5,6.13,0.9341,-0.895,-1.1091,231.0953,,2009,51,invierno,febrero,SO,2.06
2009-02-21,1000.6467,998.81,1001.6,0.8104,0.941701,0.892,97.1,2.2714,1.5354,0.31,2.62,0.478,2.6912,0.75,5.13,0.8238,-0.2979,-1.4314,258.2434,144,2009,52,INVIERNO,February,O,4.23
2009-02-22,991.9282,987.55,999.68,3.536,0.946819,87.5,99.2,3.706,1.7647,0.29,2.1747985,0.6853,3.1822,0.63,4.81562525,1.2511,-1.0318,-0.9368,222.2369,144,2009,53,VERANO_INVIERNO,February,SO,3.89
2009-02-23,985.6422,984.07,988.89,1.2634,87.1854,79.9,96.5,4.7004,2.8842,1.05,6.66,,5.5652,2.75,9.75,1.3048,-0.2442,-2.584,264.6022,144,2009,54,invierno,February,Oeste,0.36
2009-02-24,995.7947,988.96,1001.17,3.9542,0.931153,88.8,96.3,1.3869,3.64284,0.0,12.204,0.7698,1.9135,0.0,5.38,1.4669,0.472,-0.1499,342.3869,144,2009,55,verano,april,N,5.45
2009-02-25,999.9206,996.49,1001.71,1.702,81.9781,,98.7,13.8455,2.0062,0.0,3.1565646800000002,1.5539,3.1381,0.0,4.27503248,2.2635,-1.6703,-0.9851,210.5319,144,2009,56,invierno,February,SO,5.96
2009-02-26,990.586,997.7294143779319,985.86,2.8527,78.9006,,91.8,6.9455,10.602360000000001,1.9080000000000001,12.168929664000002,117.00999999999999,5.2672,1.5,8.88,-91.91,-2.0217,-2.0218,225.0018,144,2009,57,Verano,JULY,SO,6.29
2009-02-27,987.7591,985.32,989.32,1.3345,87.8576,78.7,94.0,3.857,2.1535,0.51,3.89,0.7255,4.2082,10.078921678478178,1.5,1.4054,-0.6237,-2.011,252.7698,144,2009,58,invierno,February,O,8.1
2009-02-28,988.464,986.67,989.5,0.8298,92.6444,88.5,97.4,2.665,4.194,0.324,11.052,53.190000000000005,1.9408,0.38,4.63,-40.849999999999994,,-0.6143,216.4928,144,2009,59,verano,may,SO,12.17
2009-03-01,984.8683,982.88,986.78,1.1126,86.8758,59.67,97.5,11.5544,8.04168,0.9720000000000001,10.73729088,81.31,3.4278,1.0,6.88,-56.24,-2.1506,0.2883,172.3635,144,2009,60,primavera,Sep,South,7.87
2009-03-02,985.7242,984.01,989.49,1.668,87.7875,79.8,94.1,3.8228,7.394399999999999,2.556,7.941121379999999,0.6166,3.3632,1.63,3.7282260000000003,0.9107,-1.4392,,198.0279,144,2009,61,primavera,july,S,8.79
2009-03-03,987.478,981.75,990.22,2.6279,0.746581,0.4582,95.8,17.7598,1.8038,0.1,5.04,1.1053,2.8524,0.5,7.13,1.5483,-1.3053,-0.8178,212.0676,144,2009,62,primavera,august,SO,10.26
2009-03-04,970.9461,962.67,981.57,5.7696,0.749337,0.5543,89.5,10.6076,9.153360000000001,0.54,,1.837,4.0971,0.63,9.75,2.7248,-2.3734,0.188,175.4718,144,2009,,primavera,september,Sur,6.36
2009-03-05,959.8607,958.67,962.54,0.8964,94.2944,86.0,97.8,2.8296,1.2908,0.04,3.45,0.787,2.2142,0.25,5.25,1.0716,1.1131,0.1826,9.3166,144,2009,64,primavera,July,N,5.37
2009-03-06,966.1201,960.5,974.09,4.3143,97.6889,95.8,98.8,0.9211,1.9065,0.4,4.89,1.1719,2.9876,0.88,6.38,1.4344,1.395,0.1033,4.234,144,2009,65,primavera,March,N,3.35
2009-03-07,981.5191,974.18,986.67,3.9282,0.9238190000000001,0.8490000000000001,97.3,3.8146,2.1013,0.89,3.56,0.5825,3.6407,1.25,6.25,1.0924,-0.5092,-1.9303,255.2218,144,2009,66,primavera,October,O,6.44
2009-03-08,980.1182,975.25,986.24,,88.5472,73.5,98.6,8.0668,3.2713,0.48,9.76,2.0186,4.9997,1.25,12.75,2.8387,-2.9175,-1.0995,200.6488,144,2009,67,Inverano,March,S,6.41
2009-03-09,980.0093,975.24,984.44,3.0705,74.4285,56.69,97.0,11.2405,,0.27,6.77,1.0008,4.8608,0.75,,1.8873,-1.3009,-2.1577,238.9135,144,2009,68,primavera,junio,SO,5.58
2009-03-10,981.9172,977.33,985.07,3.0183,80.5678,69.46,93.5,7.0047,3.6012,0.32,7.49,1.9073,5.5859,0.75,11.0,2.4751,-2.8383,-2.0031,215.2126,,2009,69,primavera,March,SO,6.06
2009-03-11,989.1622,978.63,995.38,5.0818,0.838916,0.5966,96.6,10.3265,2.3262,1.23,3.37,0.475,4.1622,2.0,6.13,,-0.2467,-2.2436,263.7253,144,2009,70,primavera,March,O,5.91
2009-03-12,992.2961,998.9710774434488,987.3,3.0289,87.909,76.2,94.0,4.3092,2.6308,,3.39889937,1.2118,4.1994,1.13,5.983802730000001,1.7585,-1.8004,-1.5305,220.3684,144,2009,71,Primavera,March,SO,
2009-03-13,991.4599,987.5,994.31,2.2914,74.1331,51.1,91.4,12.4783,8.90316,1.0080000000000002,,0.823,4.3506,0.88,7.75,1.5804,-0.3368,-2.3271,261.7639,144,2009,72,primavera,october,O,10.36
2009-03-14,,988.47,994.22,1.9368,78.9625,57.48,97.0,13.9071,2.0497,0.18,5.78,1.3149,3.1649,0.63,7.63,1.7863,-1.8129,-0.4786,194.7897,144,2009,73,primavera,March,S,7.56
2009-03-15,994.909,1003.9060774646955,989.35,3.4922,87.7937,80.4,93.5,3.4041,2.1475,0.27,4.03,0.5528,4.0512,0.63,7.5,1.0709,-0.4622,-2.0583,,144,2009,74,primaveraa,March,O,8.26
2009-03-16,1004.1262,1001.3,1005.45,1.162,84.9424,71.8,95.6,7.6103,5.282640000000001,,,0.5406,2.4192,0.75,3.88,0.7635,-0.2898,-1.1968,256.3882,144,2009,75,primavera,octubre,O,10.74
2009-03-17,1003.5888,1002.29,1005.25,0.6917,71.8037,52.09,85.8,11.4856,2.0687,0.3,3.83,0.7326,3.8514,0.63,7.75,1.5902,-0.2822,-1.9248,261.6596,144,2009,76,primavera,March,O,9.31
2009-03-18,1002.7473,998.71,1005.49,2.3902,63.986,39.86,,14.3719,,0.99,4.16,0.6611,4.3612,1.63,7.13,1.067,-0.4503,-2.3854,259.3108,144,2009,77,Estacion_Desconocida,March,o,4.91
2009-03-19,998.2676,995.9,1002.15,1.7116,70.2421,49.9,94.4,10.2189,2.7769,0.43,8.8,1.4432,4.5787,1.0,12.75,2.2235,1.6429,-0.1547,354.6191,144,2009,78,primavera,March,N,2.58
2009-03-20,1004.0028,1001.98,1005.52,1.0544,62.1434,46.62,72.6,6.5535,2.0801,0.14,5.03,1.1757,3.4549,11.031436270723475,0.5,1.7603,1.4188,0.8023,29.4868,,2009,79,primavera,march,NE,
2009-03-21,1000.6249,996.56,1004.03,2.4457,0.0058055599999999995,0.9011985492159702,34.37,18.5243,1.3211,0.07,2.09402027,0.7855,2.3456,0.25,3.96434698,1.4293,-0.6824,-0.5823,220.4721,144,2009,80,primavera,marzo,SO,8.51
2009-03-22,993.3515,991.02,996.44,1.2021,,50.55,79.7,7.1901,2.509,0.35,4.81,1.1984,5.025,0.75,11.25,2.3637,-0.5943,-2.0699,253.9809,144,2009,81,primavera,September,O,8.04
2009-03-23,979.8688,,990.94,6.9318,74.6413,59.61,91.1,8.5502,3.9168,1.72,4.93989945,1.1799,7.7411,3.88,9.556685980000001,2.3349,-1.5802,-3.4613,245.4612,144,2009,82,primavera,May,,6.45
2009-03-24,975.8044,970.83,982.73,3.9892,76.2591,48.36,93.3,9.4258,10.38312,3.06,26.928,101.42999999999999,5.5656,1.75,13.13,-106.185,-0.0346,-2.4987,269.2076,144,2009,83,primavera,Oct,O,2.45
2009-03-25,976.1547,970.82,982.52,4.4466,83.0331,63.84,96.8,9.2778,9.64836,1.584,16.598062152,1.5224,3.9914,0.88,6.915859230000001,2.2045,-2.235,-0.5869,194.7128,144,2009,84,primavera,marzo,S,7.62
2009-03-26,977.152,973.14,980.24,2.0617,0.810869,0.991475428067219,60.17,11.4739,14.03964,1.9800000000000002,18.253394496,1.8925,5.9714,0.88,7.30110925,2.5704,-2.8757,,217.8908,144,2009,85,primavera,october,SO,8.51
,973.382,971.76,975.24,1.0043,77.6669,59.86,89.0,7.381,3.6303,1.07,4.7224196,1.5636,5.6799,1.88,,2.2941,-2.7277,-2.1815,218.6516,144,2009,86,primavera,March,SO,8.97
2009-03-28,972.9165,969.69,977.02,2.0005,77.2399,62.78,87.9,6.5013,3.7899,0.32,9.36,2.1155,5.7951,0.88,13.63,,-3.3033,-1.2771,201.137,144,2009,87,VERANO_INVIERNO,March,S,8.85
2009-03-29,981.1278,977.03,987.04,2.8423,0.69139,0.4987,83.0,10.7472,2.008,,4.46,1.1412,3.2275,0.5,7.0,1.3501,-0.531,-1.0106,242.2807,144,2009,88,primavera,Nov,SO,8.27
2009-03-30,992.8499,987.15,997.17,2.9925,77.3629,57.77,89.6,9.3161,1.2547,0.02,3.81,0.9989,2.2049,0.25,5.88,1.475,0.7717,0.4761,31.6731,144,2009,89,,march,NE,11.76
2009-03-31,996.6424,994.59,998.62,1.41,72.89,43.15,97.5,20.8353,1.4706,0.1,4.15,1.2154,2.5649,0.38,6.88,1.9633,0.5333,0.7459,54.4351,144,2009,90,East,March,NE,13.38
2009-04-01,993.8551,992.71,994.64,0.4819,0.6185849999999999,0.3676,93.6,19.458,10.226880000000001,0.396,23.328000000000003,203.84000000000003,4.7131,0.38,11.38,-162.86499999999998,1.7615,1.9371,47.7183,144,2009,91,primavera,november,NE,16.28
2009-04-02,993.4159,991.72,994.64,1.1351,0.594576,0.4623,75.6,9.0151,3.7023,0.84,6.31,1.2481,5.6815,1.5,9.88,1.9878,2.8667,1.3277,,144,2009,92,primavera,DECEMBER,NE,22.37
2009-04-03,990.4504,988.25,991.95,1.2454,61.7311,31.72,93.7,20.8908,,0.01,2.5041251300000003,1.0089,2.4016,0.13,4.0389115,1.5046,-1.246,0.0341,178.4311,144,2009,93,primavera,Jan,S,19.58
2009-04-04,991.279,990.37,993.8,0.9931,69.9707,51.79,94.2,14.4179,1.2469,0.13,2.1996533400000002,0.7741,2.4071,0.5,4.0389115,1.4752,,-0.5709,242.1577,144,2009,94,PRIMAVERA,April,SO,14.39
2009-04-05,995.4567,993.9,997.11,0.7757,77.9346,63.31,92.2,8.5367,5.41656,0.396,10.558336032,94.94,2.5465,0.38,3.7282260000000003,-62.665000000000006,0.9453,0.7096,36.8948,144,2009,95,primavera,enero,NE,18.88
2009-04-06,990.0981,985.82,994.91,3.3268,75.2866,53.08,93.5,14.4224,1.0392,0.04,3.41,0.818,1.9045,7.744997248411672,0.25,1.3224,0.0689,0.3991,80.2078,144,2009,96,primavera,April,E,22.1
,984.4544,982.66,985.84,0.837,71.9453,34.64,98.2,22.1588,5.7186,0.5760000000000001,25.164,106.89999999999999,2.6899,0.5,10.88,-81.525,-0.5018,-0.2385,205.4264,144,2009,97,primavera,January,SO,17.42
2009-04-08,986.8988,985.25,988.85,0.944,68.2899,48.64,91.6,14.2384,2.3315,0.28,7.31,1.6071,3.63,0.75,10.38,2.4871,-1.7213,-1.285,,144,2009,98,East,April,Suroeste,16.97
2009-04-09,989.7985,988.77,991.32,0.8131,68.0445,54.04,86.2,9.306,1.497,0.03,3.51,0.8495,2.4319,0.25,5.38,1.1638,-0.0077,0.1777,92.4666,144,2009,99,primavera,April,E,23.16
2009-04-10,984.9312,981.38,988.79,2.5773,66.899,33.16,97.0,22.794,1.4774,0.13,2.57247594,1.0576,2.7949,0.5,4.6602825,1.9819,-0.2198,0.7829,105.6796,144,2009,100,primavera,august,E,22.01
2009-04-11,982.5188,981.82,983.7,0.5194,65.584,39.63,94.0,14.8967,2.0612,0.0,5.32,1.4782,3.2619,0.0,8.13,2.1625,1.5561,0.9434,31.2261,144,2009,101,primavera,April,NE,20.05
2009-04-12,983.8507,982.99,984.57,,61.6245,38.67,93.8,16.8423,7.56288,0.108,20.016,1.5239,3.2803,11.471043502039386,0.25,2.1731,1.7317,0.8097,25.0601,144,2009,102,primavera,NOVEMBER,NE,19.77
2009-04-13,982.3281,980.64,,1.1272,66.4616,44.35,93.8,16.218,5.833080000000001,0.07200000000000001,20.16,1.5538,2.5676,0.25,7.38,2.1107,1.0379,0.6905,33.6354,144,2009,103,primavera,Jan,NE,20.56
2009-04-14,982.4517,981.77,983.84,0.5637,66.2371,40.89,93.6,17.513,5.454359999999999,23.568188614075495,0.0,1.457,2.5178,0.13,4.74106073,2.1433,0.8628,0.6292,36.1019,144,2009,104,primavera,february,NORTHEAST,22.09
2009-04-15,983.9859,982.88,985.06,0.64,0.566661,0.30510000000000004,93.9,23.5907,1.7886,0.03,4.7,1.3757,3.1769,0.38,8.13,2.3162,-0.0465,0.8818,93.0183,144,2009,105,primavera,April,E,22.42
2009-04-16,980.5444,976.4,984.08,2.7717,52.6632,32.49,79.1,13.389,1.9794,0.0,5.03,1.5168,3.4624,0.0,8.75,2.3883,0.2066,1.0841,79.2115,144,2009,106,primavera,July,E,12.42
2009-04-17,977.2138,975.49,979.29,0.8753,90.8908,60.07,96.2,9.7865,5.66028,1.4040000000000001,19.476000000000003,70.63000000000001,2.8431,1.13,8.38,-52.04,-0.0253,-0.5385,267.3115,144,2009,107,,april,O,9.79
2009-04-18,985.4798,979.43,992.19,3.9119,0.908562,0.825,95.8,4.0069,2.1873,0.54,3.25598404,1.2235,3.6415,,0.70214923,1.4717,1.561,0.3771,13.5814,144,2009,108,primavera,April,N,14.65
2009-04-19,995.3985,992.24,997.31,1.518,0.7846810000000001,0.59,93.9,11.6651,9.94608,1.584,20.844,1.226,4.131,1.5,8.0,1.6942,2.3982,1.1673,25.954,144,2009,109,primavera,febrero,NE,16.42
2009-04-20,996.7824,995.5,997.9,0.7794,0.628418,0.4111,95.3,18.1297,8.5068,0.0,23.040000000000003,1.9767,3.8031,0.13,9.5,2.892,1.9617,0.9206,25.1393,144,2009,110,primavera,November,NE,17.09
2009-04-21,995.936,994.49,997.46,0.9445,54.7089,32.12,86.8,17.3025,1.5304,0.01,4.24,1.287,2.7203,0.25,7.25,2.1208,0.885,0.783,41.5003,144,2009,111,primavera,April,NE,15.7
2009-04-22,993.053,991.39,995.12,0.8993,0.701435,0.4012,90.9,15.896,1.7317,0.11,7.51,1.4644,3.1485,0.63,11.13,2.2951,0.5017,-0.328,326.8273,144,2009,112,Inverano,DECEMBER,NO,8.54
2009-04-23,995.1531,992.68,,1.6684,86.316,73.5,96.5,7.3977,5.52672,0.14400000000000002,14.976,1.0033,2.7524,0.5,6.5,1.5042,0.8035,-0.0278,358.0213,144,2009,113,primavera,MARCH,N,17.67
2009-04-24,995.0159,990.73,998.08,2.8313,72.1037,41.44,99.5,24.7806,2.137,0.13,5.26,1.4568,3.7536,0.38,8.38,2.4556,0.4542,1.1832,69.0009,144,2009,114,primavera,Jan,E,21.57
2009-04-25,988.4359,987.02,990.74,0.9755,49.3054,29.93,79.4,14.8796,7.3187999999999995,0.0,13.376874888000001,161.68,3.4203,0.0,5.983802730000001,-125.46,-1.8172,-0.1156,183.641,144,2009,115,primavera,Sept,S,20.75
2009-04-26,982.8031,978.01,,3.0482,60.5503,34.14,90.2,17.5711,1.9058,0.03,3.67230261,1.6743,3.0636,0.25,5.517774480000001,2.4743,-1.7648,0.4429,165.9135,144,2009,116,primavera,April,S,21.37
